underlying,ts,bid,ask,spot,runbet_spot
frxAUDJPY,2014-04-29 16:18:17,95.004,95.04,95.025,95.025
frxAUDJPY,2014-04-29 16:18:18,95.01,95.032,95.021,95.021
frxAUDJPY,2014-04-29 16:18:19,95.014,95.029,95.022,95.022
frxAUDJPY,2014-04-29 16:18:20,95.012,95.03,95.021,95.021
frxAUDJPY,2014-04-29 16:18:21,95.017,95.028,95.022,95.022
frxAUDJPY,2014-04-29 16:18:22,95.004,95.039,95.021,95.021
frxAUDJPY,2014-04-29 16:18:24,95.012,95.03,95.02,95.02
frxAUDJPY,2014-04-29 16:18:25,95.009,95.033,95.02,95.02
frxAUDJPY,2014-04-29 16:18:26,95.017,95.027,95.021,95.021
frxAUDJPY,2014-04-29 16:18:27,95.012,95.03,95.02,95.02
frxAUDJPY,2014-04-29 16:18:28,95.016,95.028,95.022,95.022
frxAUDJPY,2014-04-29 16:18:29,95.01,95.03,95.02,95.02
frxAUDJPY,2014-04-29 16:18:30,95.013,95.03,95.02,95.02
frxAUDJPY,2014-04-29 16:18:31,95.017,95.03,95.022,95.022
frxAUDJPY,2014-04-29 16:18:32,95.019,95.027,95.023,95.023
frxAUDJPY,2014-04-29 16:18:33,95.021,95.029,95.025,95.025
frxAUDJPY,2014-04-29 16:18:34,95.013,95.039,95.025,95.025
frxAUDJPY,2014-04-29 16:18:35,95.016,95.034,95.024,95.024
frxAUDJPY,2014-04-29 16:18:36,95.014,95.04,95.026,95.026
frxAUDJPY,2014-04-29 16:18:37,95.015,95.036,95.025,95.025
frxAUDJPY,2014-04-29 16:18:40,95.014,95.041,95.027,95.027
frxAUDJPY,2014-04-29 16:18:41,95.013,95.041,95.027,95.027
frxAUDJPY,2014-04-29 16:18:42,95.022,95.031,95.026,95.026
frxAUDJPY,2014-04-29 16:18:43,95.021,95.035,95.03,95.03
frxAUDJPY,2014-04-29 16:18:45,95.016,95.04,95.027,95.027
frxAUDJPY,2014-04-29 16:18:46,95.023,95.034,95.028,95.028
frxAUDJPY,2014-04-29 16:18:47,95.02,95.034,95.03,95.03
frxAUDJPY,2014-04-29 16:18:48,95.018,95.032,95.028,95.028
frxAUDJPY,2014-04-29 16:18:49,95.019,95.032,95.025,95.025
frxAUDJPY,2014-04-29 16:18:50,95.016,95.037,95.026,95.026
frxAUDJPY,2014-04-29 16:18:52,95.019,95.034,95.026,95.026
frxAUDJPY,2014-04-29 16:18:53,95.016,95.039,95.027,95.027
frxAUDJPY,2014-04-29 16:18:54,95.022,95.032,95.026,95.026
frxAUDJPY,2014-04-29 16:18:55,95.017,95.033,95.025,95.025
frxAUDJPY,2014-04-29 16:18:56,95.015,95.034,95.025,95.025
frxAUDJPY,2014-04-29 16:18:57,95.019,95.033,95.025,95.025
frxAUDJPY,2014-04-29 16:19:02,95.017,95.032,95.024,95.024
frxAUDJPY,2014-04-29 16:19:03,95.02,95.027,95.024,95.024
frxAUDJPY,2014-04-29 16:19:04,95.014,95.033,95.023,95.023
frxAUDJPY,2014-04-29 16:19:05,95.017,95.029,95.022,95.022
frxAUDJPY,2014-04-29 16:19:06,95.016,95.027,95.021,95.021
frxAUDJPY,2014-04-29 16:19:08,95.003,95.038,95.02,95.02
frxAUDJPY,2014-04-29 16:19:09,94.99,95.09,95.032,95.032
frxAUDJPY,2014-04-29 16:19:11,95.016,95.029,95.023,95.023
frxAUDJPY,2014-04-29 16:19:12,95.009,95.035,95.021,95.021
frxAUDJPY,2014-04-29 16:19:13,95.014,95.029,95.021,95.021
frxAUDJPY,2014-04-29 16:19:14,95.019,95.025,95.021,95.021
frxAUDJPY,2014-04-29 16:19:15,95.015,95.028,95.021,95.021
frxAUDJPY,2014-04-29 16:19:16,95.009,95.036,95.022,95.022
frxAUDJPY,2014-04-29 16:19:17,95.008,95.036,95.021,95.021
frxAUDJPY,2014-04-29 16:19:18,95.016,95.031,95.024,95.024
frxAUDJPY,2014-04-29 16:19:19,95.016,95.033,95.025,95.025
frxAUDJPY,2014-04-29 16:19:20,95.021,95.03,95.026,95.026
frxAUDJPY,2014-04-29 16:19:21,95.017,95.036,95.026,95.026
frxAUDJPY,2014-04-29 16:19:22,95.018,95.037,95.028,95.028
frxAUDJPY,2014-04-29 16:19:23,95.021,95.036,95.028,95.028
frxAUDJPY,2014-04-29 16:19:24,95.016,95.042,95.028,95.028
frxAUDJPY,2014-04-29 16:19:25,95.004,95.054,95.034,95.034
frxAUDJPY,2014-04-29 16:19:26,95.016,95.041,95.03,95.03
frxAUDJPY,2014-04-29 16:19:27,95.015,95.04,95.028,95.028
frxAUDJPY,2014-04-29 16:19:28,94.98,95.08,95.03,95.03
frxAUDJPY,2014-04-29 16:19:29,95.02,95.036,95.028,95.028
frxAUDJPY,2014-04-29 16:19:30,95.016,95.041,95.028,95.028
frxAUDJPY,2014-04-29 16:19:31,95.019,95.035,95.027,95.027
frxAUDJPY,2014-04-29 16:19:32,95.016,95.041,95.027,95.027
frxAUDJPY,2014-04-29 16:19:33,95.014,95.045,95.028,95.028
frxAUDJPY,2014-04-29 16:19:34,95.026,95.033,95.029,95.029
frxAUDJPY,2014-04-29 16:19:35,95.021,95.036,95.028,95.028
frxAUDJPY,2014-04-29 16:19:37,95.019,95.037,95.028,95.028
frxAUDJPY,2014-04-29 16:19:38,95.02,95.038,95.028,95.028
frxAUDJPY,2014-04-29 16:19:39,95.027,95.036,95.031,95.031
frxAUDJPY,2014-04-29 16:19:40,95.019,95.042,95.031,95.031
frxAUDJPY,2014-04-29 16:19:41,95.023,95.038,95.03,95.03
frxAUDJPY,2014-04-29 16:19:42,94.97,95.07,95.019,95.019
frxAUDJPY,2014-04-29 16:19:43,95.021,95.038,95.025,95.025
frxAUDJPY,2014-04-29 16:19:44,94.98,95.08,95.03,95.03
frxAUDJPY,2014-04-29 16:19:45,95.006,95.056,95.03,95.03
frxAUDJPY,2014-04-29 16:19:46,95.021,95.038,95.029,95.029
frxAUDJPY,2014-04-29 16:19:47,95.026,95.036,95.03,95.03
frxAUDJPY,2014-04-29 16:19:48,95.025,95.034,95.03,95.03
frxAUDJPY,2014-04-29 16:19:49,95.021,95.037,95.029,95.029
frxAUDJPY,2014-04-29 16:19:53,95.019,95.044,95.03,95.03
frxAUDJPY,2014-04-29 16:19:54,95.013,95.046,95.03,95.03
frxAUDJPY,2014-04-29 16:19:55,95.019,95.043,95.03,95.03
frxAUDJPY,2014-04-29 16:19:56,95.022,95.037,95.029,95.029
